---
source: c:\EOTIR\EOTIR RPG\Directories\COMPNOR - Galactic Citizen Directory.xlsx
category: in_game_documents/laws_policies
sheets: ['Sheet1']
source_type: EOTIR RPG
extraction_date: 2025-05-03T15:31:06.225225
---

--- Sheet: Sheet1 ---

                         Name                                    Rank        Division                          Department
               Alfus Briggons                         Deputy Minister         COMPNOR                         IRCG: Audit
             Caroline Higgins                      Assistant Minister         COMPNOR                         IRCG: Audit
                Brianna Hawks                      Assistant Minister         COMPNOR                         IRCG: Audit
            Bridgett Bastiaan                         Deputy Minister         COMPNOR                 T&I: Transformation
                William Armes                          Under Minister         COMPNOR                 T&I: Transformation
                   Jim Kallin                          Under Minister         COMPNOR                 T&I: Transformation
                 Brent Malloy                          Under Minister         COMPNOR                 T&I: Transformation
                 Hade Jackson                                Director         COMPNOR                 T&I: Transformation
               Jethro Carruci                                Director         COMPNOR                 T&I: Transformation
                Albert Tenney                                Director         COMPNOR                 T&I: Transformation
                Bethany Banks                         Senior Director         COMPNOR                 T&I: Transformation
                Susan Jaggers                         Deputy Minister         COMPNOR                 T&I: Transformation
             Rob Higginbottom                      Assistant Minister         COMPNOR                 T&I: Transformation
               Alicia Caudill                      Assistant Minister         COMPNOR                 T&I: Transformation
                   May Sexton                                Director         COMPNOR                 T&I: Transformation
               Ralph Goldmere                         Senior Director         COMPNOR                 T&I: Transformation
               Sarah McDonner                         Senior Director         COMPNOR                 T&I: Transformation
                 Lorie Mathis                                Director         COMPNOR                 T&I: Transformation
              Charity Pilbean                                Director         COMPNOR                 T&I: Transformation
                 Josh Hemming                                Director         COMPNOR                 T&I: Transformation
                Hali Williams                                Director         COMPNOR                 T&I: Transformation
                 Lars O'Kefee                                Director         COMPNOR                 T&I: Transformation
              Julius Jacobson                                Director         COMPNOR                 T&I: Transformation
                  Jed Haskins                          Under Minister         COMPNOR                 T&I: Transformation
              Mary Jean Brown                          Under Minister         COMPNOR                 T&I: Transformation
                Jerrod Season                          Under Minister         COMPNOR                 T&I: Transformation
               Jamison Rogers                      Assistant Minister         COMPNOR                 T&I: Transformation
              Claudia McNelda                      Assistant Minister         COMPNOR                 T&I: Transformation
                Travis Ivanov                          Under Minister         COMPNOR                 T&I: Transformation
                 Kira Jeffers                                Director         COMPNOR                 T&I: Transformation
           Herbert Lyons-Hall                                Director         COMPNOR                 T&I: Transformation
             Jerrick Dolfreys                                Director         COMPNOR                 T&I: Transformation
               Eugene Simmons                                Director         COMPNOR                 T&I: Transformation
               Melody Petraus                          Vice President         COMPNOR                Valorumian Institute
              Charline Porter                                Director         COMPNOR                Valorumian Institute
                Maud Mattiolo                                Director         COMPNOR                Valorumian Institute
                     Ena Grau                                Director         COMPNOR                Valorumian Institute
               Kelly Hatrival                                Director         COMPNOR                Valorumian Institute
               Martine Rueckl                                Director         COMPNOR                Valorumian Institute
                    Kane Bron                                Director         COMPNOR                Valorumian Institute
              Heather Kreuger                         Senior Director         COMPNOR                Valorumian Institute
                 Jordan Ivers                         Senior Director         COMPNOR                Valorumian Institute
                Hannes Quincy                   Senior Vice President         COMPNOR                Valorumian Institute
                  John Waters                          Vice President         COMPNOR                Valorumian Institute
                    Deanna Su                Assistant Vice President         COMPNOR                Valorumian Institute
                Edward Tilson                         Senior Director         COMPNOR                Valorumian Institute
                Allie Laursen                                Director         COMPNOR                Valorumian Institute
              Conner Townsend                                Director         COMPNOR                Valorumian Institute
                    Lexi Reed                                Director         COMPNOR                Valorumian Institute
                 Misty Jacobs                Assistant Vice President         COMPNOR                Valorumian Institute
                  Alana Gates                         Senior Director         COMPNOR                Valorumian Institute
                     Tye Vorn                                Director         COMPNOR                Valorumian Institute
                   Sara Setel                Assistant Vice President         COMPNOR                Valorumian Institute
                 Edward Lowes                          Vice President         COMPNOR                Valorumian Institute
                Elliot Powers                Assistant Vice President         COMPNOR                Valorumian Institute
                 Mark Johnson                Assistant Vice President         COMPNOR                Valorumian Institute
                 Joesph Ainge                Assistant Vice President         COMPNOR                Valorumian Institute
            William McConnell                          Vice President         COMPNOR                Valorumian Institute
                  Ryan Denali                          Vice President         COMPNOR                Valorumian Institute
             James A. Chilton                   Senior Vice President         COMPNOR                Valorumian Institute
                Robert Medley                          Vice President         COMPNOR                Valorumian Institute
                  Samuel Pace                          Vice President         COMPNOR                Valorumian Institute
           Talvin Welsonsmith                          Vice President         COMPNOR                Valorumian Institute
               Spenser Kalves                   Senior Vice President         COMPNOR                Valorumian Institute
                Brett Gaffrey                          Vice President         COMPNOR                Valorumian Institute
                   Laura Yang                          Vice President         COMPNOR                Valorumian Institute
                Howard Freyer                Associate Vice President         COMPNOR                Valorumian Institute
                 Melanie Kant                Associate Vice President         COMPNOR                Valorumian Institute
                   Dawn Foust                Associate Vice President         COMPNOR                Valorumian Institute
           Lizzie Robespierre                Associate Vice President         COMPNOR                Valorumian Institute
                Kelsey Jyzerk                          Vice President         COMPNOR                Valorumian Institute
                 Monica Dawes                Assistant Vice President         COMPNOR                Valorumian Institute
                  Rick Fields                Assistant Vice President         COMPNOR                Valorumian Institute
                 Martha Kline                Assistant Vice President         COMPNOR                Valorumian Institute
             Brandon Jackafee                Assistant Vice President         COMPNOR                Valorumian Institute
              Julia Darlinger                Assistant Vice President         COMPNOR                Valorumian Institute
                  Sam Hampton                Assistant Vice President         COMPNOR                Valorumian Institute
               Celine Laukhuf                Associate Vice President         COMPNOR                Valorumian Institute
               Dana Gillespie                Assistant Vice President         COMPNOR                Valorumian Institute
                 Emily Parker                         Senior Director         COMPNOR                Valorumian Institute
              Caroline Troyer                Associate Vice President         COMPNOR                Valorumian Institute
                  Casper Mies                          Vice President         COMPNOR                Valorumian Institute
                Matthew Allen                          Vice President         COMPNOR                Valorumian Institute
               Graham Daniels                Associate Vice President         COMPNOR                Valorumian Institute
              William Naalehu                Associate Vice President         COMPNOR                Valorumian Institute
              Henry Galintrol                Associate Vice President         COMPNOR                Valorumian Institute
              Shane Hodgenson                Associate Vice President         COMPNOR                Valorumian Institute
             Isabelle Jallack                Associate Vice President         COMPNOR                Valorumian Institute
        Frederich Kalashnikov                          Vice President         COMPNOR                Valorumian Institute
                  Tony Henson                         Deputy Minister         COMPNOR                           Education
              Fiona Zimmerman                          Under Minister         COMPNOR                           Education
          Kathleen Brzezinski                          Under Minister         COMPNOR                           Education
                 Ivory Capons                    Assistant Chancellor         COMPNOR                  Stratus University
              Florine Georgas                         Senior Director         COMPNOR                  Stratus University
              Michelle Bivens                          Associate Dean         COMPNOR                  Stratus University
               Jennifer Luthy                    Assistant Chancellor         COMPNOR                  Stratus University
                 Alice Ackley                         Senior Director         COMPNOR                  Stratus University
              Krister Briscoe                          Associate Dean         COMPNOR                  Stratus University
            Rebecca Mackenzie                                 Provost         COMPNOR                  Stratus University
                Casey Latimer                            Vice Provost         COMPNOR                  Stratus University
                 Susan Watson                       Associate Provost         COMPNOR                  Stratus University
               Caitlyn Butler                       Assistant Provost         COMPNOR                  Stratus University
             Gretchen Valviar                       Assistant Provost         COMPNOR                  Stratus University
          Dominique Middleton                       Assistant Provost         COMPNOR                  Stratus University
                Paige Tillman                       Assistant Provost         COMPNOR                  Stratus University
          Caroline Fitzgerald                       Assistant Provost         COMPNOR                  Stratus University
              Monique Frazier                       Assistant Provost         COMPNOR                  Stratus University
               Matthew Damson                       Associate Provost         COMPNOR                  Stratus University
Percy Carrington Blakeley III                                    Dean         COMPNOR                  Stratus University
               Hazel Davidson                                    Dean         COMPNOR                  Stratus University
               Jacob J Fullit                                    Dean         COMPNOR                  Stratus University
             Larissa Hartford                                    Dean         COMPNOR                  Stratus University
                Robert Fenton                                    Dean         COMPNOR                  Stratus University
                 Justus Brown                                    Dean         COMPNOR                  Stratus University
           Timothy Cartwright                                    Dean         COMPNOR                  Stratus University
         Fransisco Valamarino                                    Dean         COMPNOR                  Stratus University
               Ellen Parameno                                    Dean         COMPNOR                  Stratus University
               Anne Pickering                                    Dean         COMPNOR                  Stratus University
                Penny Hoffman                                    Dean         COMPNOR                  Stratus University
                   Tad Carney                                    Dean         COMPNOR                  Stratus University
            Elizabeth Shelton                                    Dean         COMPNOR                  Stratus University
                Kalvin Cooper                                    Dean         COMPNOR                  Stratus University
              Natasha Zairian                                    Dean         COMPNOR                  Stratus University
               Mallory Monroe                                    Dean         COMPNOR                  Stratus University
              Heath Courtiour                                    Dean         COMPNOR                  Stratus University
               Valarie Alatza                                    Dean         COMPNOR                  Stratus University
         Kristofer Christiani                            Vice Provost         COMPNOR                  Stratus University
               Jarred Howeson                                    Dean         COMPNOR                  Stratus University
                Robin Swanson                                    Dean         COMPNOR                  Stratus University
               Nicolas Wright                       Assistant Provost         COMPNOR                  Stratus University
               Kristie Bowler                         Senior Director         COMPNOR                  Stratus University
                Jodie Stinson                         Vice Chancellor         COMPNOR                  Stratus University
                 Mason Sumner                    Associate Chancellor         COMPNOR                  Stratus University
                Andres Halpen                    Assistant Chancellor         COMPNOR                  Stratus University
             Cassi Pantelakos                         Senior Director         COMPNOR                  Stratus University
                  Ezra Honjas                         Senior Director         COMPNOR                  Stratus University
          Fletcher Bentihavas                                Director         COMPNOR                  Stratus University
           Beverly Zouvelekis                                Director         COMPNOR                  Stratus University
           Lucien Katsiavrias                                Director         COMPNOR                  Stratus University
             Wallace Kyritsis                                Director         COMPNOR                  Stratus University
                 Emile Suflas                                Director         COMPNOR                  Stratus University
                 Danny Slader                    Assistant Chancellor         COMPNOR                  Stratus University
                Hans Bartello                         Senior Director         COMPNOR                  Stratus University
               Chester Pelter                         Senior Director         COMPNOR                  Stratus University
                 Miriam Leach                         Senior Director         COMPNOR                  Stratus University
                  Markus Hart                         Senior Director         COMPNOR                  Stratus University
               Mollie Jennett                    Associate Chancellor         COMPNOR                  Stratus University
              Beverley Sawyer                    Assistant Chancellor         COMPNOR                  Stratus University
              Charisse Asikis                                Director         COMPNOR                  Stratus University
          Evelin Antimisiaris                                Director         COMPNOR                  Stratus University
       Captain Edmund Pefanis                                Director         COMPNOR                  Stratus University
             Cheryll Nikolaou                                Director         COMPNOR                  Stratus University
        Rev. William Paitakes                                Director         COMPNOR                  Stratus University
                 Tara Jeppson                    Assistant Chancellor         COMPNOR                  Stratus University
             Marline Michaels                                    Dean         COMPNOR                  Stratus University
                  Vilma Kakos                         Senior Director         COMPNOR                  Stratus University
            Allison Dimakakos                         Senior Director         COMPNOR                  Stratus University
           Ervin Pintzopoulos                         Senior Director         COMPNOR                  Stratus University
              Hilario Lalagos                                    Dean         COMPNOR                  Stratus University
                 Elinor Telis                                    Dean         COMPNOR                  Stratus University
              Winston T. Knox                         Deputy Minister         COMPNOR              Culture & Preservation
                  Katy Beirne                          Under Minister         COMPNOR              Culture & Preservation
          Christian Wingerter                      Assistant Minister         COMPNOR              Culture & Preservation
              Charlie Murrary                      Assistant Minister         COMPNOR              Culture & Preservation
                  Jean Gordon                      Assistant Minister         COMPNOR              Culture & Preservation
                  Joan Thorpe                          Under Minister         COMPNOR              Culture & Preservation
                Martha Gilles                      Assistant Minister         COMPNOR              Culture & Preservation
                 Emmet Kalisz                      Assistant Minister         COMPNOR              Culture & Preservation
                 Cody Stelter                      Assistant Minister         COMPNOR              Culture & Preservation
          Victor K. Schilling                         Deputy Minister         COMPNOR              Culture & Preservation
               Austin Michels                   Senior Vice President         COMPNOR              Culture & Preservation
                  Eric Hendry                          Vice President         COMPNOR              Culture & Preservation
                Cheryl Bailey                          Vice President         COMPNOR              Culture & Preservation
             Philip Schroeder                Executive Vice President         COMPNOR              Culture & Preservation
              Cheryl Crandall                         Deputy Minister         COMPNOR              Culture & Preservation
              Chad Naventhall                      Assistant Minister         COMPNOR              Culture & Preservation
             Julia Kingsolver                                Director         COMPNOR              Culture & Preservation
                  Barbara Lau                                Director         COMPNOR              Culture & Preservation
               Angela Watkins                      Assistant Minister         COMPNOR              Culture & Preservation
             Kimberly Bessmer                                Director         COMPNOR              Culture & Preservation
                Matthew Lakes                                Director         COMPNOR              Culture & Preservation
               Anthony Howard                         Senior Director         COMPNOR              Culture & Preservation
                Carter Fuller                      Assistant Minister         COMPNOR              Culture & Preservation
               Diego Catalini                         Senior Director         COMPNOR              Culture & Preservation
                   Joyce Wang                                Director         COMPNOR              Culture & Preservation
                 Tracy Santos                                Director         COMPNOR              Culture & Preservation
                Shelby Erakis                         Senior Director         COMPNOR              Culture & Preservation
                  Denen Elkis                                 Senator           State            Imperial Republic Senate
                  Zon Takeshi                                 Senator           State            Imperial Republic Senate
                 Luna Roanoke                                 Senator           State            Imperial Republic Senate
                 Hober Mallow                                 Senator           State            Imperial Republic Senate
               Aisha Melantha                                 Senator           State            Imperial Republic Senate
                F'lar Zenifal                                 Senator           State            Imperial Republic Senate
              Charles Dimonte                                 Senator           State            Imperial Republic Senate
             Kylen SeiraJenat                                 Senator           State            Imperial Republic Senate
         Blake Carrington III                                 Senator           State            Imperial Republic Senate
             Nathan Bakilinor                                 Senator           State            Imperial Republic Senate
                 Skye Granger                                 Senator           State            Imperial Republic Senate
            Ericka Rosborough                                 Senator           State            Imperial Republic Senate
              Jonas Quell’ter                                 Senator           State            Imperial Republic Senate
                Delmaar Nagan                                 Senator           State            Imperial Republic Senate
              Chalet Purifini                                 Senator           State            Imperial Republic Senate
               Creel Mkvenner                                 Senator           State            Imperial Republic Senate
                Landon Carter                                 Senator           State            Imperial Republic Senate
                 Tans Winters                                 Senator           State            Imperial Republic Senate
                  Drake Devin                                 Senator           State            Imperial Republic Senate
               Claudia Barnes                                 Senator           State            Imperial Republic Senate
                 Reija Tarsen                                 Senator           State            Imperial Republic Senate
                Kelvin Rutley                                 Senator           State            Imperial Republic Senate
               James O'Malley                                 Senator           State            Imperial Republic Senate
                Rowan Sanders                          Chief of Staff         COMPNOR Grand/High Ministers Personal Staff
             Garrett Halstead                       Private Secretary         COMPNOR  Offices of the Grand/High Minister
              Jackie O’Rourke                       Private Secretary         COMPNOR  Offices of the Grand/High Minister
            Charlotte Langdon                     Political Secretary         COMPNOR  Offices of the Grand/High Minister
                    Jay Ruzak                     Political Secretary         COMPNOR  Offices of the Grand/High Minister
                 Madison King                               Counselor         COMPNOR  Offices of the Grand/High Minister
               Ben Fitzsimons                         Senior Director         COMPNOR  Offices of the Grand/High Minister
                  Reid Carter                                Director         COMPNOR  Offices of the Grand/High Minister
                Jesse Granger                                Director         COMPNOR  Offices of the Grand/High Minister
                  Ellie Mason                                Director         COMPNOR  Offices of the Grand/High Minister
                  Erika Avery                                Director         COMPNOR  Offices of the Grand/High Minister
                  Beth Hudson                                Director         COMPNOR  Offices of the Grand/High Minister
             Morgan Patterson                                Director         COMPNOR  Offices of the Grand/High Minister
               Kathleen Engel                                Director         COMPNOR  Offices of the Grand/High Minister
               Claire Bedford                         General Counsel         COMPNOR  Offices of the Grand/High Minister
                Lance Elliott                          Deputy Counsel         COMPNOR  Offices of the Grand/High Minister
                Bailey Wilson                                Director         COMPNOR  Offices of the Grand/High Minister
             Thomas Dreyson                     Deputy Chief of Staff         COMPNOR  Offices of the Grand/High Minister
               Natalie Morris                                Director         COMPNOR  Offices of the Grand/High Minister
                Thomas Gilman                                Director         COMPNOR  Offices of the Grand/High Minister
                David McHenry                                Director         COMPNOR  Offices of the Grand/High Minister
            Charles Ingersoll                                Director         COMPNOR  Offices of the Grand/High Minister
               Jacob Rutledge                                Director         COMPNOR  Offices of the Grand/High Minister
              Roger Ellsworth                                Director         COMPNOR  Offices of the Grand/High Minister
                Jared Mifflin                                Director         COMPNOR  Offices of the Grand/High Minister
                James Lansing                                Director         COMPNOR  Offices of the Grand/High Minister
                Helen Mavalla                                Director         COMPNOR  Offices of the Grand/High Minister
                  Adla D'Asta                                Director         COMPNOR  Offices of the Grand/High Minister
              Nick Ballentine                                Director         COMPNOR  Offices of the Grand/High Minister
                 Emma Bassett                         Senior Director         COMPNOR  Offices of the Grand/High Minister
             Nicholas Sherman                                Director         COMPNOR  Offices of the Grand/High Minister
             William Brearley                                Director         COMPNOR  Offices of the Grand/High Minister
                 Kevin Mercer                                Director         COMPNOR  Offices of the Grand/High Minister
                Sean Anderson                                Director         COMPNOR  Offices of the Grand/High Minister
               Robert Azerrad                                Director         COMPNOR  Offices of the Grand/High Minister
                 Rufus Hadley                                Director         COMPNOR  Offices of the Grand/High Minister
              Caroline Dayton                                Director         COMPNOR  Offices of the Grand/High Minister
               Olivia Bentley                                Director         COMPNOR  Offices of the Grand/High Minister
               Chloe Shumlin                                 Director         COMPNOR  Offices of the Grand/High Minister
                  Lynn Mendez                                Director         COMPNOR  Offices of the Grand/High Minister
                Hailey Snyder                                Director         COMPNOR  Offices of the Grand/High Minister
                 Karcye Tanex                          Chief of Staff             EPS              Office of the Exectuor
               Brittany Lloyd              Senior Executive Assistant             EPS              Office of the Exectuor
                 Rachel Stone                                Director             EPS              Office of the Exectuor
               Sheyla Segovia                                Director             EPS              Office of the Exectuor
               Alisia Pradeux                         Senior Director             EPS              Office of the Exectuor
                 Jason Rogers                       Private Secretary             EPS              Office of the Exectuor
             Blake Carlye III                   Deputy Chief of Staff             EPS              Office of the Exectuor
                 Jarek Veitch                         Chief Economist             EPS              Office of the Exectuor
               Alexander Holt                         Cultral Attache             EPS              Office of the Exectuor
            Melanie Mattingly                         Senior Director             EPS              Office of the Exectuor
                 Jacob Kiefer                                Director             EPS              Office of the Exectuor
               Marcus Trommer                                Director             EPS              Office of the Exectuor
               Andrew Rhoades                                Director             EPS              Office of the Exectuor
              Elizabeth Mason                                 Manager             EPS              Office of the Exectuor
              Michael Bennett                                 Manager             EPS              Office of the Exectuor
                  Ben Zurrick                                Director             EPS              Office of the Exectuor
               Maxwell Maizes                                 Manager             EPS              Office of the Exectuor
           Melissa Claibourne                                 Manager             EPS              Office of the Exectuor
               Samantha Hydon                                Director             EPS              Office of the Exectuor
                Melissa Owens                                 Manager             EPS              Office of the Exectuor
                 Julie Oxford                                 Manager             EPS              Office of the Exectuor
                Nicole Lawson                                 Manager             EPS              Office of the Exectuor
                Timothy Adams                                Director             EPS              Office of the Exectuor
             Brittany Barrows                                 Manager             EPS              Office of the Exectuor
                 Layne Marsen                                Director             EPS              Office of the Exectuor
                Gavin Picante                      Assistant Director             EPS              Office of the Exectuor
               Nathan Gilmore                         General Counsel             EPS              Office of the Exectuor
               Miles Hendrick                          Deputy Counsel             EPS              Office of the Exectuor
               Calvin Deveaux                         Senior Director             EPS              Office of the Exectuor
                   Ella Mease                     Royal Guard Captain             EPS              Office of the Exectuor
           Patrick Fowler XIV                       Grand Chamberlain             EPS                     Duchy of Maires
           Margaret Mandelson           Keeper of the Ducks and Swans             EPS                     Duchy of Maires
                Danaca Ostraw                          Chief of Staff           State    Office of the Supreme Chancellor
                 Mirek Byczek                       Private Secretary           State    Office of the Supreme Chancellor
                Irene Halicki                      Personal Assistant           State    Office of the Supreme Chancellor
                Edvard Kuznik                          Senior Advisor           State    Office of the Supreme Chancellor
                  Hynek Gurka                         General Counsel           State    Office of the Supreme Chancellor
              Cecilie Solecki                                Director           State    Office of the Supreme Chancellor
               Candice Rogers                                Director           State    Office of the Supreme Chancellor
               Ctirad Zukoski                                Director           State    Office of the Supreme Chancellor
                 Beata Wolkow                                 Manager           State    Office of the Supreme Chancellor
              Antoine Urbanek                                 Manager           State    Office of the Supreme Chancellor
            Benedict Terlecki                                 Manager           State    Office of the Supreme Chancellor
               Augustin Rudek                                Director           State    Office of the Supreme Chancellor
             Bronislava Nedza                                 Manager           State    Office of the Supreme Chancellor
             Svetlana Potocki                                Director           State    Office of the Supreme Chancellor
                 Jachym Gucwa                                 Manager           State    Office of the Supreme Chancellor
                   Kane Iskra                                 Manager           State    Office of the Supreme Chancellor
                 Dusan Musial                   Deputy Chief of Staff           State    Office of the Supreme Chancellor
                 Filip Lopata                                 Manager           State    Office of the Supreme Chancellor
                 Eliska Jusko                                Director           State    Office of the Supreme Chancellor
                  Ester Kalka                                Director           State    Office of the Supreme Chancellor
                 Chmiel Forys                                Director           State    Office of the Supreme Chancellor
                Florian Duran                                Director           State    Office of the Supreme Chancellor
                 Gaida Dolata                     Royal Guard Captain           State    Office of the Supreme Chancellor
                   Jon Tinkle                                 Admiral            HMPS                         Royal Fleet
                 Shawna Brian                            Rear Admiral            HMPS                         Royal Fleet
                 Melba Herrin                               Commander            HMPS                         Royal Fleet
              Adaline Hoffner                                 General            HMPS                         Royal Fleet
                       Vacant                                 Captain            HMPS                         Royal Fleet
               Leroy Voorhies                               Commander            HMPS                         Royal Fleet
                 Kellie Keely                    Lieutenant Commander            HMPS                         Royal Fleet
                Diandra Devin                          Chief of Staff            HMPS           Office of the High Prince
                       Vacant                   Deputy Chief of Staff            HMPS           Office of the High Prince
                     Koru Tav                                   Major            HMPS           Office of the High Prince
              Masoit Vax'tila                              Lieutenant            HMPS           Office of the High Prince
                  Kate Pector                       Health Supervisor            HMPS           Office of the High Prince
              Corey Killinger                          Policy Advisor            HMPS           Office of the High Prince
                Wesley Slaton                          Policy Advisor            HMPS           Office of the High Prince
              Irene Storrbert                          Policy Advisor            HMPS           Office of the High Prince
              LeQuisha Ramiez                          Office Manager            HMPS           Office of the High Prince
               Daphne Voelker                        Office Secretary            HMPS           Office of the High Prince
                Katie Degroff                        Office Secretary            HMPS           Office of the High Prince
              Selina Vadcasta                  State Security Advisor            HMPS           Office of the High Prince
             Aurielle Stratus                  Senate Liaison Officer            HMPS           Office of the High Prince
               Darren Kloster                       Political Officer            HMPS           Office of the High Prince
                Lewis Gebhart                       Political Officer            HMPS           Office of the High Prince
             Maurice Jandreau                 Communications Director            HMPS           Office of the High Prince
                       Vacant                         General Counsel            HMPS           Office of the High Prince
                   Eoin Darus                                Minister           State Royal Family Administrative Service
                       Vacant       Prince Marc's Royal Guard Captain           State Royal Family Administrative Service
                       Vacant   Princess Ashlee’s Royal Guard Captain           State Royal Family Administrative Service
                       Vacant   Princess Nicole’s Royal Guard Captain           State Royal Family Administrative Service
                       Vacant Princess Aurielle’s Royal Guard Captain           State Royal Family Administrative Service
                       Vacant                   Deputy Chief of Staff           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                    Deputy Chief of Staf           State Royal Family Administrative Service
                       Vacant                         Senior Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                          Senior Manager           State Royal Family Administrative Service
                       Vacant                          Senior Manager           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                    Deputy Chief of Staf           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
                       Vacant                                Director           State Royal Family Administrative Service
            Sabina Tiritiello                              Ambassador           State                           IR Events
               Jenov Raveshaw                                Director           State                                IRIS
                  Lucy Davaro                                Minister           State            Imperial Republic Senate
          Edwin Santhe-Sienar                     Minister-Grand Moff           State                 Regional Governance
               Alexia Preston                              Grand Moff           State                 Regional Governance
                Silara Drayen                           District Moff           State                 Regional Governance
                Dario Vandron                           District Moff           State                 Regional Governance
                 Marc Stratus                              Grand Moff           State                 Regional Governance
             Alexander Marcov                              Grand Moff           State                 Regional Governance
               Ewan Brentioch                              Grand Moff           State                 Regional Governance
          Phoenix Solo-Katarn                                   Queen           Hapes                        Royal Throne
                Mithia Elegin                              Grand Moff           State                 Regional Governance
               Emilia Vandron                              Grand Moff           State                 Regional Governance
                 Balinor Holt                              Grand Moff           State                 Regional Governance
               Lucilla Tarkin                           District Moff           State                 Regional Governance
                 Karl Hewlitt                           District Moff           State                 Regional Governance
               Vivian Malvern                              Grand Moff           State                 Regional Governance
                Julius Borgin                              Grand Moff           State                 Regional Governance
                Elena Curovao                              Grand Moff           State                 Regional Governance
                  Owain Vedij                              Grand Moff           State                 Regional Governance
                   Siena Thul                              Grand Moff           State                 Regional Governance
                  Gaius Praji                              Grand Moff           State                 Regional Governance
               Pellinor Nalju                              Grand Moff           State                 Regional Governance
                  Cyril Draay                              Grand Moff           State                 Regional Governance
              Percival Dajaal                              Grand Moff           State                 Regional Governance
                Ruadan Demici                              Grand Moff           State                 Regional Governance
George Charles Wilmington III                                Minister           State                   State: Operations
             Alessandra Dandy                      Assistant Minister           State                   State: Operations
               Matthew Spears                          Under Minister           State                   State: Operations
                       Vacant                      Assistant Minister           State                   State: Operations
                       Vacant                      Assistant Minister           State                   State: Operations
                       Vacant                      Assistant Minister           State                   State: Operations
                       Vacant                      Assistant Minister           State                   State: Operations
            Sebastian Pecivas                    Trade Representative           State                   State: Operations
                       Vacant                      Assistant Minister           State                   State: Operations
             Gwendolyn Okeefe                   Executive Secretariat           State                   State: Operations
              Victoria Rexler            Division Comptroller General           State                   State: Operations
                   Amy Sezala               Divison Personnel Officer           State                   State: Operations
                  Elaine Odom                        Division Counsel           State                   State: Operations
               Chandra Dellon                         Deputy Minister           State                    State: Diplomacy
                  Lain Duhaad                         Deputy Minister           State             State: Consular Affairs
